HHHLLHLHHLLHLHHLLLLLLLHHLLHHHLHLLLHLLLLHLHLHLLLHHLLHLLHHLLHLHLLH
W_LIST: -1.20569 0.635472 0.172062 0.685282 -0.00590841 0.611396 -0.301283 0.830502 1.93526 -0.719262 2.03152 -2.99008 0.442446 -1.36174 -2.26705 0.207273 -1.08119 -1.25613 2.56833 2.49571 -0.65375 0.551673 -0.802214 2.0392 -1.00921 1.52814 2.33825 -1.99525 -0.749461 -2.99125 -0.779052 2.31474 -1.97886 -1.67594 -1.63813 0.966143 -2.99583 0.425359 0.297038 3.32998 -2.57242 -3.26203 2.39227 -2.4019 1.46423 1.14567 0.617948 3.14688 2.40427 2.6238 0.303328 -2.48228 0.860579 0.270436 2.31215 1.9329 0.522087 -0.584743 -2.72867 -3.18813 1.59979 -1.12628 -1.38178 -1.43212 
st	op	ed	phy
SITE: 9	11	12	1
SITE: 10	13	14	1
SITE: 10	14	15	1
SITE: 10	12	16	0
SITE: 9	10	16	1
SITE: 8	9	16	0
SITE: 7	8	16	0
SITE: 6	7	16	0
SITE: 5	6	16	0
SITE: 4	5	16	0
SITE: 3	4	16	1
SITE: 2	3	16	1
SITE: 1	2	16	1
SITE: 0	0	16	1
SITE: 1	16	17	0
SITE: 1	17	18	0
SITE: 15	18	20	1
SITE: 1	19	20	1
SITE: 1	20	21	0
SITE: 1	21	22	1
SITE: 1	22	23	1
SITE: 1	23	24	0
SITE: 1	24	25	0
SITE: 15	26	27	0
SITE: 1	25	27	1
SITE: 15	27	29	1
SITE: 1	28	29	1
SITE: 1	29	30	0
SITE: 15	31	32	1
SITE: 1	30	32	1
SITE: 1	32	33	0
SITE: 15	34	35	1
SITE: 1	33	35	0
SITE: 1	35	36	1
SITE: 1	36	37	0
SITE: 15	37	39	1
SITE: 1	15	39	1
SITE: 1	39	40	0
SITE: 38	41	42	1
SITE: 1	40	42	0
SITE: 1	42	43	1
SITE: 1	43	44	1
SITE: 1	44	45	1
SITE: 38	45	47	1
SITE: 1	46	47	0
SITE: 1	47	48	0
SITE: 38	49	50	1
SITE: 1	48	50	0
SITE: 1	50	51	0
SITE: 1	51	52	1
SITE: 38	52	54	1
WARN: Unitary gate is identity
SITE: 53	53	53	0
SITE: 1	54	55	0
SITE: 1	55	56	0
SITE: 1	56	57	1
SITE: 1	57	58	0
SITE: 38	59	60	0
WARN: Unitary gate is identity
SITE: 58	58	58	1
SITE: 1	60	61	0
SITE: 1	61	62	0
SITE: 1	63	63	1
WARN: Unitary gate is identity
SITE: 62	62	62	0
WARN: Unitary gate is identity
SITE: 38	38	38	0
WARN: Unitary gate is identity
SITE: 1	1	1	1
MPS Info: 1.16254 1.01737 0.0917196 
Writing MPS done!
