HLHLLHHHLLLLHHLHHLLLLLLHHHHHHLLHLLHLLHHHHHLHLLLHHLHHHHHLHHLLLHLL
W_LIST: 2.93617 0.603747 -3.44608 1.17529 -1.51211 -2.88309 4.1727 2.07753 -4.30246 -3.37832 2.05915 -1.10596 2.19792 -1.2131 2.94712 -1.904 -1.22313 3.20537 -1.06867 -4.01988 -0.744785 3.4653 2.69477 3.73584 0.873063 2.15539 2.47411 3.07753 -1.90489 3.02171 1.68191 -2.61625 -3.36622 3.27983 -4.14179 1.58855 -0.727391 2.53129 -0.297137 3.58333 -1.72813 -0.519892 1.50499 -1.56791 -3.16661 2.25201 -4.10397 -2.94225 2.95207 -1.23339 -2.03108 -2.53725 0.828007 1.34131 3.78747 1.88309 3.93498 1.71441 0.337345 -0.918029 -3.16145 -3.17543 4.30262 -3.8537 
st	op	ed	phy
SITE: 5	6	8	0
SITE: 3	5	7	1
SITE: 3	7	8	0
SITE: 2	4	8	0
SITE: 1	2	8	1
SITE: 0	0	8	0
SITE: 3	8	10	0
SITE: 1	9	10	0
SITE: 1	10	11	1
SITE: 1	11	12	0
SITE: 1	12	13	0
SITE: 3	14	15	1
SITE: 1	13	15	1
SITE: 3	15	17	1
SITE: 1	16	17	1
SITE: 1	17	18	1
SITE: 1	18	19	0
SITE: 3	19	21	0
SITE: 1	3	21	1
SITE: 32	34	35	1
SITE: 33	35	37	1
SITE: 32	33	37	1
SITE: 32	37	38	0
SITE: 32	36	39	0
SITE: 32	39	40	0
SITE: 30	32	38	0
SITE: 30	31	40	1
SITE: 28	29	38	1
SITE: 28	30	40	1
SITE: 27	28	40	1
SITE: 27	40	41	1
SITE: 27	41	42	1
SITE: 27	42	43	1
SITE: 38	44	45	0
SITE: 27	43	45	1
SITE: 27	45	46	1
SITE: 38	46	48	0
SITE: 27	47	48	1
SITE: 27	48	49	0
SITE: 27	49	50	0
SITE: 38	51	52	1
SITE: 27	50	52	1
SITE: 38	53	54	0
SITE: 27	52	54	0
SITE: 27	54	55	0
SITE: 27	55	56	1
SITE: 27	56	57	0
SITE: 27	57	58	0
SITE: 27	58	59	1
SITE: 27	59	60	0
SITE: 38	61	62	1
WARN: Unitary gate is identity
SITE: 60	60	60	0
SITE: 27	62	63	1
SITE: 1	21	22	1
SITE: 1	22	23	1
SITE: 1	23	24	0
SITE: 1	24	25	0
SITE: 1	25	26	0
SITE: 20	27	38	0
SITE: 1	26	38	0
WARN: Unitary gate is identity
SITE: 63	63	63	0
WARN: Unitary gate is identity
SITE: 20	20	20	0
WARN: Unitary gate is identity
SITE: 1	1	1	1
WARN: Unitary gate is identity
SITE: 38	38	38	0
MPS Info: 4.60353 0.52047 0.504658 
Writing MPS done!
