HLHHLHLLHHHLHHLLHLLLHLHLHLHHHLHLHHHLLLLHHLLHHLLHHLLHLHLHLHLLLHHH
W_LIST: -0.906425 0.0458541 6.19911 -1.39959 -5.11786 -0.734402 2.07446 1.55289 0.41477 -7.35692 -7.67564 5.10437 0.675574 -4.01544 -5.31237 4.2871 -5.50796 -7.69654 -5.72542 3.24547 6.28894 2.99191 2.86285 1.67438 -4.45166 -6.33121 -5.18246 0.971526 -0.559069 -2.18603 3.42131 -1.15403 7.85983 4.68937 -6.58442 2.76658 -1.64678 -6.06218 6.06992 -5.22598 3.2182 -0.358384 -1.88801 2.82105 -5.71642 -4.48704 5.36624 0.946149 -7.32485 -1.72056 3.96521 0.226355 -2.87757 -7.78198 -3.48741 4.59571 3.13166 -3.8181 1.59341 2.2564 -3.38462 -6.64499 4.54168 4.55019 
st	op	ed	phy
SITE: 45	46	48	1
SITE: 45	48	49	1
SITE: 45	49	50	0
SITE: 45	50	51	1
SITE: 47	52	53	0
SITE: 45	51	53	0
SITE: 47	53	55	1
SITE: 45	54	55	0
SITE: 47	55	57	0
SITE: 45	56	57	1
SITE: 45	57	58	1
SITE: 31	32	34	0
SITE: 31	34	35	1
SITE: 30	33	35	0
SITE: 29	30	35	0
SITE: 29	35	36	1
SITE: 31	37	38	0
SITE: 29	36	38	0
SITE: 29	38	39	1
SITE: 29	39	40	1
SITE: 29	40	41	0
SITE: 31	42	43	0
SITE: 29	41	43	1
SITE: 29	43	44	0
SITE: 31	44	47	1
SITE: 31	45	58	0
SITE: 29	31	58	0
SITE: 47	59	60	1
WARN: Unitary gate is identity
SITE: 58	58	58	1
SITE: 47	61	62	1
WARN: Unitary gate is identity
SITE: 60	60	60	0
SITE: 10	11	13	1
SITE: 8	10	12	1
SITE: 8	9	13	1
SITE: 12	14	15	0
SITE: 8	13	15	1
SITE: 8	15	16	1
SITE: 8	16	17	1
SITE: 12	17	19	0
SITE: 8	18	19	0
SITE: 8	19	20	1
SITE: 8	20	21	0
SITE: 7	12	21	1
SITE: 28	29	62	0
SITE: 26	27	47	0
WARN: Unitary gate is identity
SITE: 28	28	28	0
SITE: 25	26	62	1
SITE: 23	25	47	0
WARN: Unitary gate is identity
SITE: 24	24	24	1
SITE: 22	23	62	1
SITE: 8	21	47	1
WARN: Unitary gate is identity
SITE: 22	22	22	0
SITE: 7	8	62	1
SITE: 5	6	47	1
SITE: 5	7	62	1
SITE: 4	5	62	1
SITE: 2	4	47	0
WARN: Unitary gate is identity
SITE: 3	3	3	1
SITE: 1	2	62	0
SITE: 0	0	62	1
SITE: 1	63	63	0
WARN: Unitary gate is identity
SITE: 62	62	62	0
WARN: Unitary gate is identity
SITE: 1	1	1	1
WARN: Unitary gate is identity
SITE: 47	47	47	1
MPS Info: 11.913 0.180393 4.39347e-06 
Writing MPS done!
