LLHHLLLHLLLLHLHLLLHHHLLLLLHLLLLHLHLHHHHLLHLHLLHHHHHHHLLLHLHHLHLH
W_LIST: 0.331377 0.823233 0.153315 0.24955 0.433264 0.283974 -0.721044 -0.930334 -0.468706 0.741193 0.520391 -0.469586 -0.283976 -0.323084 0.226821 0.394266 -0.296547 -0.298892 0.75922 0.297569 -0.180111 0.588756 -0.332069 -0.554022 0.700065 -0.848514 -0.0516825 0.274107 -0.368306 0.832479 0.847638 -0.83777 -0.0496952 0.337216 -0.801666 -0.992041 0.921458 -0.901026 -0.682682 0.218371 0.143097 0.926759 -0.862151 -0.481833 -0.340976 -0.205255 -0.570009 -0.137999 0.695182 -0.593922 -0.282352 0.69421 0.213628 0.900252 0.814582 -0.183254 -0.675225 0.872092 -0.221201 0.20619 -0.993279 0.731689 0.524135 -0.736688 
st	op	ed	phy
SITE: 33	35	36	1
SITE: 32	34	36	0
SITE: 32	33	37	0
SITE: 31	36	37	0
SITE: 30	31	37	1
SITE: 30	37	38	1
SITE: 30	38	39	1
SITE: 30	39	40	0
SITE: 32	41	42	0
SITE: 30	40	42	1
SITE: 30	32	43	1
SITE: 29	30	43	1
SITE: 28	29	43	1
SITE: 27	28	43	0
SITE: 26	27	43	1
SITE: 25	26	43	1
SITE: 24	25	43	0
SITE: 23	24	43	1
SITE: 22	23	43	0
SITE: 21	42	43	1
SITE: 21	43	44	1
SITE: 21	44	45	0
SITE: 21	45	46	1
SITE: 21	46	47	1
SITE: 21	47	48	1
SITE: 21	48	49	0
SITE: 20	21	49	1
SITE: 19	20	49	1
SITE: 19	49	50	1
SITE: 19	50	51	1
SITE: 19	51	52	0
SITE: 19	22	53	0
SITE: 18	19	53	0
SITE: 17	18	53	0
SITE: 16	17	53	1
SITE: 15	16	53	0
SITE: 14	15	53	1
SITE: 14	53	54	1
SITE: 13	14	54	1
SITE: 12	52	54	1
SITE: 12	54	55	1
SITE: 13	56	57	1
WARN: Unitary gate is identity
SITE: 55	55	55	0
SITE: 12	57	58	1
SITE: 12	58	59	1
SITE: 12	13	60	0
SITE: 12	60	61	0
SITE: 12	61	62	0
SITE: 12	62	63	1
SITE: 11	12	63	1
SITE: 10	11	63	0
SITE: 8	9	59	1
WARN: Unitary gate is identity
SITE: 10	10	10	1
SITE: 7	8	63	0
SITE: 6	59	63	0
SITE: 5	6	63	0
SITE: 4	5	63	1
SITE: 3	7	63	1
SITE: 2	4	63	1
SITE: 1	2	63	1
SITE: 0	63	63	1
WARN: Unitary gate is identity
SITE: 1	1	1	1
WARN: Unitary gate is identity
SITE: 0	0	0	0
WARN: Unitary gate is identity
SITE: 3	3	3	1
MPS Info: -2.71826 2.72486 0.0104855 
Writing MPS done!
